t_expected,t_start,t_arrived,margin
540,478,480,59
540,478,480,59
540,478,481,59
540,479,481,59
540,479,481,59
540,480,481,59
540,480,481,59
540,480,481,59
540,481,482,58
540,481,482,58
540,472,482,59
540,472,482,59
540,477,482,59
540,479,482,58
540,480,482,57
540,478,483,59
540,474,483,58
540,471,483,59
540,471,483,59
540,478,483,58
540,478,483,58
540,481,483,56
540,477,483,59
540,479,483,59
540,479,484,58
540,472,484,59
540,477,484,58
540,477,484,58
540,477,484,58
540,478,484,58
540,482,484,56
540,482,484,56
540,479,485,58
540,480,485,58
540,472,485,58
540,474,485,57
540,474,485,57
540,475,485,59
540,479,485,57
540,479,485,57
540,482,485,55
540,482,485,55
540,482,485,55
540,483,485,54
540,483,485,54
540,478,486,57
540,479,486,57
540,484,486,55
540,479,486,57
540,479,486,57
540,479,486,57
540,480,486,57
540,480,486,57
540,481,486,57
540,481,486,57
540,485,486,54
540,473,486,58
540,476,486,56
540,477,486,55
540,475,486,59
540,478,486,57
540,483,486,54
540,483,486,54
540,483,486,54
540,484,487,54
540,484,487,54
540,484,487,54
540,484,487,54
540,484,487,54
540,484,487,53
540,484,487,53
540,479,487,57
540,477,487,58
540,475,487,56
540,477,487,55
540,474,487,57
540,481,487,55
540,480,487,55
540,479,487,56
540,481,487,55
540,481,487,55
540,484,487,53
540,484,487,53
540,481,487,56
540,474,488,59
540,483,488,55
540,472,488,59
540,478,488,54
540,475,488,59
540,480,488,55
540,482,488,55
540,478,488,56
540,486,488,51
540,472,489,59
540,472,489,59
540,487,489,52
540,481,489,55
540,488,489,51
540,488,489,51
540,488,489,51
540,475,489,59
540,475,489,59
540,479,489,53
540,474,489,59
540,478,489,57
540,481,489,54
540,471,489,59
540,471,489,59
540,471,489,59
540,487,490,51
540,487,490,51
540,483,490,54
540,478,490,57
540,484,490,54
540,477,490,53
540,476,490,58
540,478,490,53
540,481,490,54
540,481,490,54
540,475,490,58
540,482,490,53
540,482,490,53
540,482,490,54
540,487,490,50
540,487,490,50
540,488,491,49
540,484,491,53
540,484,491,53
540,484,491,53
540,479,491,52
540,479,491,52
540,479,491,52
540,479,491,52
540,484,491,52
540,484,491,52
540,483,491,53
540,482,491,54
540,489,491,49
540,489,491,49
540,477,492,57
540,483,492,52
540,490,492,49
540,490,492,49
540,485,492,52
540,485,492,52
540,486,492,52
540,485,492,52
540,478,492,53
540,478,492,53
540,480,492,54
540,478,492,56
540,482,492,53
540,475,492,58
540,485,492,51
540,489,492,48
540,483,493,52
540,490,493,48
540,491,493,48
540,491,493,48
540,491,493,48
540,491,493,48
540,486,493,51
540,486,493,51
540,486,493,51
540,472,493,58
540,480,493,51
540,480,493,51
540,479,493,51
540,479,493,51
540,481,493,54
540,483,493,52
540,478,493,55
540,486,493,50
540,486,493,50
540,490,493,47
540,491,494,47
540,491,494,47
540,492,494,47
540,487,494,50
540,492,494,47
540,477,494,54
540,477,494,54
540,480,494,51
540,477,494,56
540,484,494,51
540,484,494,51
540,487,494,49
540,485,494,51
540,485,495,51
540,488,495,50
540,480,495,51
540,481,495,50
540,482,495,49
540,482,495,49
540,484,495,48
540,484,495,48
540,474,495,56
540,475,495,55
540,488,495,48
540,488,495,48
540,492,495,45
540,492,495,45
540,488,496,50
540,488,496,50
540,481,496,53
540,481,496,53
540,481,496,53
540,494,496,45
540,480,496,50
540,480,496,50
540,482,496,49
540,482,496,53
540,482,496,53
540,482,496,52
540,485,496,47
540,486,496,49
540,486,496,50
540,485,496,50
540,489,496,47
540,487,496,49
540,487,496,49
540,489,496,47
540,483,496,51
540,490,496,46
540,489,496,49
540,489,496,49
540,489,496,49
540,493,496,45
540,479,496,54
540,479,496,54
540,490,497,47
540,483,497,48
540,483,497,51
540,483,497,51
540,482,497,52
540,482,497,52
540,482,497,52
540,479,497,54
540,486,497,49
540,483,497,52
540,486,497,49
540,487,497,49
540,483,497,52
540,483,497,52
540,476,497,54
540,490,497,48
540,490,497,48
540,493,497,44
540,493,497,44
540,494,497,43
540,479,497,52
540,479,497,52
540,490,498,47
540,483,498,51
540,491,498,46
540,474,498,56
540,482,498,48
540,482,498,48
540,482,498,48
540,480,498,53
540,484,498,47
540,486,498,46
540,486,498,46
540,485,498,49
540,490,498,46
540,490,498,46
540,490,498,46
540,488,498,47
540,488,498,48
540,488,498,47
540,494,498,43
540,488,499,48
540,488,499,48
540,488,499,48
540,483,499,51
540,491,499,46
540,491,499,46
540,491,499,46
540,484,499,50
540,477,499,53
540,477,499,53
540,484,499,47
540,483,499,47
540,487,499,45
540,487,499,45
540,485,499,49
540,488,499,47
540,491,499,45
540,488,499,47
540,491,499,45
540,491,499,45
540,488,499,48
540,484,499,51
540,491,499,47
540,496,499,42
540,496,499,41
540,484,500,50
540,485,500,49
540,485,500,49
540,485,500,49
540,493,500,44
540,484,500,47
540,484,500,46
540,486,500,45
540,488,500,44
540,488,500,44
540,488,500,44
540,492,500,44
540,492,500,44
540,489,500,47
540,489,500,47
540,496,500,41
540,485,500,49
540,497,501,40
540,497,501,40
540,498,501,41
540,498,501,41
540,494,501,43
540,478,501,52
540,481,501,50
540,484,501,46
540,481,501,52
540,485,501,46
540,489,501,43
540,491,501,47
540,491,501,44
540,491,501,44
540,493,501,43
540,478,501,52
540,491,501,45
540,491,501,45
540,492,501,46
540,497,501,40
540,490,501,46
540,498,502,39
540,498,502,39
